YEAR,ORIGIN_TYPE,PERWT
1880.0,full_mixed_region,69251.64
1880.0,full_same_country,901276.78
1880.0,full_same_region,10192.75
1880.0,half_maternal,123410.22
1880.0,half_paternal,295342.11
1900.0,full_mixed_region,229768.0
1900.0,full_same_country,2676604.0
1900.0,full_same_region,27582.0
1900.0,half_maternal,348226.0
1900.0,half_paternal,741228.0
1910.0,full_mixed_region,318017.0
1910.0,full_same_country,3620027.0
1910.0,full_same_region,40305.0
1910.0,half_maternal,523626.0
1910.0,half_paternal,1145218.0
1920.0,full_mixed_region,480963.77
1920.0,full_same_country,4381749.19
1920.0,full_same_region,56971.18
1920.0,half_maternal,753379.55
1920.0,half_paternal,1566546.64
1930.0,full_mixed_region,576926.25
1930.0,full_same_country,5649438.100000001
1930.0,full_same_region,80557.15000000001
1930.0,half_maternal,1092673.6500000001
1930.0,half_paternal,2089329.05
1940.0,error,726331.0
1940.0,full_mixed_region,158617.0
1940.0,full_same_country,1741078.0
1940.0,full_same_region,29687.0
1940.0,half_maternal,331611.0
1940.0,half_paternal,622872.0
1950.0,error,1133624.0
1950.0,full_mixed_region,221655.0
1950.0,full_same_country,2538570.0
1950.0,full_same_region,52776.0
1950.0,half_maternal,468006.0
1950.0,half_paternal,910999.0
1960.0,full_mixed_region,9737351.0
1960.0,full_same_country,84886.0
1960.0,half_maternal,1846938.0
1960.0,half_paternal,3609458.0
